Source: ACS 5-Year Estimates - Public Use Microdata Sample 2018
Weight used: PWGTP
"Universe: default universe (usually US)"
"","Sex (SEX)","",""
"Standard Occupational Classification (SOC) codes for 2018 and later based on 2018 SOC codes","Total","Male","Female"
"RPR-Avionics Technicians","26646","23697","2949"
"RPR-Electric Motor, Power Tool, And Related Repairers","28462","26939","1523"
"RPR-Electronic Home Entertainment Equipment Installers And Repairers","45069","43181","1888"
"RPR-Security And Fire Alarm Systems Installers","66238","64482","1756"
"RPR-Other Electrical And Electronic Equipment Mechanics, Installers, and Repairers","35018","32461","2557"
"RPR-Aircraft Mechanics And Service Technicians","213010","200220","12790"
"RPR-Automotive Body And Related Repairers","167634","163929","3705"
"RPR-Automotive Glass Installers And Repairers","21815","20870","945"
"RPR-Automotive Service Technicians And Mechanics","1002599","983724","18875"
"RPR-Bus And Truck Mechanics And Diesel Engine Specialists","350780","345068","5712"
"RPR-Heavy Vehicle And Mobile Equipment Service Technicians And Mechanics","261080","257028","4052"
"RPR-Small Engine Mechanics","58484","57334","1150"
"RPR-Miscellaneous Vehicle And Mobile Equipment Mechanics, Installers, And Repairers","101209","98915","2294"
"RPR-Control And Valve Installers And Repairers","23860","22313","1547"
"RPR-Heating, Air Conditioning, And Refrigeration Mechanics And Installers","448607","441466","7141"
"RPR-Home Appliance Repairers","47641","46105","1536"
"RPR-Maintenance Workers, Machinery","35523","33578","1945"
"RPR-Millwrights","55925","54501","1424"
"RPR-Industrial And Refractory Machinery Mechanics","446934","431049","15885"
"RPR-Electrical Power-Line Installers And Repairers","130407","128243","2164"
"RPR-Telecommunications Line Installers And Repairers","171875","163554","8321"
"RPR-Precision Instrument And Equipment Repairers","74519","65705","8814"
"RPR-Maintenance And Repair Workers, General","636807","613284","23523"
"RPR-Coin, Vending, And Amusement Machine Servicers And Repairers","41712","34453","7259"
"RPR-Locksmiths And Safe Repairers","32139","30364","1775"
"RPR-Riggers","14961","14514","447"
"RPR-Helpers--Installation, Maintenance, And Repair Workers","29877","28181","1696"
"RPR-Other Installation, Maintenance, And Repair Workers","339241","318031","21210"
"PRD-First-Line Supervisors Of Production And Operating Workers","1042153","830269","211884"
"PRD-Electrical, Electronics, And Electromechanical Assemblers","159981","79560","80421"
"PRD-Engine And Other Machine Assemblers","15217","13000","2217"
"PRD-Structural Metal Fabricators And Fitters","32697","31329","1368"
"PRD-Other Assemblers and Fabricators","1321030","816001","505029"
"PRD-Bakers","293409","114921","178488"
"PRD-Butchers And Other Meat, Poultry, And Fish Processing Workers","323995","245305","78690"
"PRD-Food And Tobacco Roasting, Baking, And Drying Machine Operators And Tenders","11550","7831","3719"
"PRD-Food Batchmakers","111695","43373","68322"
"PRD-Food Cooking Machine Operators And Tenders","13599","7660","5939"
"PRD-Food Processing Workers, All Other","169240","109344","59896"
"PRD-Forming Machine Setters, Operators, And Tenders, Metal And Plastic","34899","29668","5231"
"PRD-Cutting, Punching, And Press Machine Setters, Operators, And Tenders, Metal And Plastic","103058","84234","18824"
"Grinding, Lapping, Polishing, And Buffing Machine Tool Setters, Operators, And Tenders, Metal and Plastic","60424","52143","8281"
"Other Machine Tool Setters, Operators, And Tenders, Metal And Plastic","18792","16697","2095"
"PRD-Machinists","410816","392935","17881"
"PRD-Metal Furnace Operators, Tenders, Pourers, And Casters","27937","25641","2296"
"PRD-Model Makers, Patternmakers, And Molding Machine Setters, Metal And Plastic","53881","44426","9455"
